front,back
바꾸다,"change"
어두운,"dark"
공유하다,"share"
낮잠,"nap"
뚱뚱한,"fat"
코를 골다,"snore"
분홍색,"pink"
빨간색,"red"
검은색,"black"
초록색,"green"
사/넷,"four"
다섯,"five"
여섯,"six"
일곱,"seven"
여덟,"eight"
아홉,"nine"
열,"ten"
풀,"grass"
나무,"tree"
농장,"farm"
군대,"army"
책상,"desk"
쥐,"mouse"
쇠고기,"beef"
닭고기,"chicken meat"
잡다,"grab"
달리다,"run"
걷다,"walk"
얻다,"get"
가르치다,"teach"
제공하다,"provide"
더하다,"add"
고려하다,"consider"
개발하다,"develop"
자라다,"grow"
허락하다,"allow"
공급하다,"supply"
향상시키다,"improve"
존재하다,"exist"
즐기다,"enjoy"
결정하다,"decide"
보호하다,"protect"
연기,"smoke"
중력,"gravity"
사다,"buy"
기업,"corporation"
회사,"company"
발표하다,"announce"
들어가다,"enter"
닦다,"polish"
협상하다,"negotiate"
창의적인,"creative"
지루한,"boring"
위하다,"To do for the sake of"
경우,"case, scenario, circumstance"
자신,"oneself"
그러나,"but, however"
사회,"society"
문화,"culture"
통하다,"to go through"
정도,"grade,degree"
나다,"to be born"
점,"store"
시대,"An age,period"
버리다,"(following a verb) the verb\'s action is over, perhaps in a sad way"
위,"above"
정부,"government"
놓다,"to put, place"
나타나다,"to appear"
지역,"An area, region"
모습,"shape,body"
생활,"daily life, living"
저리다,"to feel numb"
둘러보다,"to look around"
어른,"adult"
자꾸만,"repeatedly, frequently"
욕심,"greed"
맘,"heart, mind"
깨뜨리다,"to break, smash"
옮기다,"to move, shift"
차이,"difference"
가만있다,"to remain quiet"
쉽다,"easy, simple"
꾹,"with an effort, patiently"
태양,"sun"
곧,"soon"
아무,"anybody,everybody"
차가워,"cold (thing)"
사라지다,"to disappear"
온기,"warmth"
지친,"exhausted"
걸음,"step, pace"
멈추다,"to stop"
길,"street"
오후,"in the afternoon"
향기,"fragrance,aroma,perfume"
흐려지다,"to get cloudy"
발자국,"footprint"
때리다,"to beat, hit"
설레임,"excitement"
찬란하다,"brilliant, radiant"
계절,"season, time of year"
덮다,"to cover, to close"
막연한,"vague"
익숙하다,"to be familiar"
무심코,"carelessly"
숨,"breath"
참다,"to bear, endure"
우연히,"by chance; incidentally"
밀어내다,"push, shove"
뒤바뀌다,"be reversed, switched"
흐릿하다,"to be dim, blurred, dull, vague, hazy (not 희..)"
억지로,"against one's will"
지나다,"to pass, go by"
전부,"everything, all, whole"
한숨,"breath"
뜨다,"to open one's eyes"
늘어나다,"increase, grow"
칭찬하다,"praise, compliment"
밀려오다,"to rush/flow in"
진심,"sincerity, truth"
헤매다,"to wander, roam"
쏟아지다,"to pour down"
발끝,"toe"
시선,"one's gaze"
끌다,"to pull; to draw; to tow; to attract; to charm"
빠지다,"to fall into"
뻔한,"obvious"
멋지다,"to be cool"
어깨,"shoulder"
무릎,"knee"
따라하다,"to follow, to repeat"
꽃이 피다,"flowers bloom"
표현하다,"to express, to show"
어둠,"darkness"
더욱,"more and more"
선명하다,"clear, distinct, vivid"
잠,"sleep, nap"
발걸음,"step, pace"
그대,"you"
달려가다,"to run, to dash"
길어지다,"become longer"
밤새,"all night long; through the night"
눈을 맞추다,"make eye contact"
반대로,"opposite"
촬영,"shooting, filming"
작가,"writer, author"
근육,"muscle"
데뷔하다,"debut"
가끔,"sometimes"
걸려,"hanging"
편리하다,"to be convenient"
맏이,"eldest child"
자체,"oneself, itself"
오히려,"rather"
어느새,"already"
훌쩍,"lightly"
어르신,"elderly"
닮다,"to resemble, to look like"
작년,"last year"
속속,"successively, one after another"
경쟁,"competition"
과정,"process"
어젯밤,"last night"
실감하다,"to realize"
상태,"condition, state"
저분,"that person (honorific)"
최근,"recently"
사생활,"private life"
붙다,"stick"
어색하다,"to be awkward"
방송,"to broadcast"
규모,"scale, size"
훨씬,"by far"
떨리다,"to be nervous"
꼭,"surely, certainly"
출연하다,"to appear on stage, act, sing"
예능,"variety show"
수준,"level"
소속사,"agency"
들어오다,"to enter"
손톱,"fingernail"
선배,"one's senior"
반복하다,"to repeat"
떠오르다,"to come to mind"
곡,"song"
괴물,"monster"
최적,"optimum, optimal, ideal"
상황,"situation"
밀어붙이다,"to push ahead"
뚜렷하다,"clear, distinct"
생기다,"to be formed"
불타다,"to burn, blaze, be in flames"
승부,"contest, match"
꼴찌,"the last (in ranking); the bottom"
무대,"stage, arena"
천만,"ten million"
야심,"ambitions, aspirations"
근원,"root, cause, source"
답변,"to answer"
상대방,"conversation partner"
정보,"information"
의견,"opinion"
사이,"relationship, between"
가을,"autumn"
경주,"race"
고향,"hometown"
공연,"performance"
공책,"notebook"
공항,"airport"
교통사고,"traffic accident"
구두,"dress shoes"
구입,"purchase"
극장,"theater"
근처,"near"
글자,"letter"
금년,"this year"
까만색,"black"
다음달,"next month"
댁,"house (honorific)"
등산,"hiking, mountain climbing"
맞은편,"opposite side"
무게,"weight"
문구점,"stationary store"
밑,"below"
물건,"thing, object"
백화점,"department store"
사은품,"a free gift; a promotional gift"
사전,"dictionary"
서점,"bookstore"
소식,"news"
수첩,"pocket notebook"
시청,"city hall"
식당,"restaurant"
신문,"newspaper"
안,"inside"
안내,"information"
역사,"history"
연필,"pencil"
영수증,"receipt"
오른쪽,"right side"
우산,"umbrella"
웬일,"for what matter/reason"
유학,"to study abroad"
자리,"seat"
자전거,"bicycle"
잡지,"magazine"
장소,"place"
정리하다,"to organize, arrange"
졸업,"graduation"
주소,"address"
주인,"owner"
지갑,"wallet"
지난주,"last week"
지난해,"last year"
창문,"window"
책상,"desk"
취미,"hobby"
취직,"getting a job"
통장,"bankbook"
평일,"weekday"
포도,"grape"
품목,"item"
한식집,"Korean restaurant"
할인,"discount"
행사,"event"
휴일,"holiday"
희망,"hope"
권,"counter for books"
마리,"counter for animals"
인분,"portion"
장,"a counter for papers, sheets, shirts"
갈아타다,"to transfer (transportation)"
감기에 걸리다,"to catch a cold"
건너가다,"cross the road"
걸리다,"to take (time), to get caught"
경험하다,"experience"
고장이 나다,"to break, to malfunction, to go out of order"
구경하다,"to look around; to sightsee"
고르다,"to choose, select"
구하다,"to look for, to seek"
길이 막히다,"to be jammed, to be blocked (traffic)"
깎다,"to cut (hair)"
꺼내다,"to pull, to take out"
끄다,"to turn off; to switch off; to put out"
끊다,"to cut; to stop; to hang up"
끼다,"to wear (glasses, gloves, rings)"
내다,"to pay"
내리다,"to get off (a vehicle)"
넣다,"to put in"
농구하다,"to play basketball"
다녀오다,"to go and get back"
다니다,"to go to, attend"
닫다,"to close (a door/window)"
돈이들다,"to cost money"
돌아오다,"to come back"
드시다,"to eat (honorific)"
드리다,"to give (honorific)"
들다,"to carry, hold, lift, raise"
듣다,"to listen"
들어가다,"to enter"
떠나다,"to leave"
마치다,"to finish"
